depth,iterations,learning_rate,retrain_interval,metric,total_return,ann_return,ann_vol,sharpe,sortino,max_dd
5,600,0.01,,sortino,0.2915806189456305,0.1320500581379891,9.355462919594096,0.01411475405043007,0.019239446000166218,-14.313942949792038
5,300,0.05,10.0,sharpe,0.6974052176037082,0.31548964231127297,9.243742465901855,0.034130077019675235,0.04636049121659354,-13.967218832987893
5,300,0.05,10.0,sortino,-0.36202847311302966,-0.16424754910203676,9.161750303653795,-0.01792752952855889,-0.024083383753448425,-14.871639874089402
5,300,0.05,20.0,sharpe,0.6974052176037082,0.31548964231127297,9.243742465901855,0.034130077019675235,0.04636049121659354,-13.967218832987893
5,300,0.05,20.0,sortino,-0.36202847311302966,-0.16424754910203676,9.161750303653795,-0.01792752952855889,-0.024083383753448425,-14.871639874089402
5,600,0.05,,sharpe,0.2915806189457859,0.1320500581380557,9.355462919594116,0.01411475405043716,0.019239446000175936,-14.31394294979189
5,600,0.05,,sortino,0.2915806189458081,0.1320500581380557,9.355462919594103,0.014114754050437179,0.01923944600017593,-14.313942949791883
5,300,0.01,10.0,sharpe,0.2915806189456971,0.1320500581380113,9.35546291959411,0.01411475405043242,0.01923944600016949,-14.313942949791963
5,300,0.01,10.0,sortino,0.8189613839372889,0.3703563884663641,9.331075286931705,0.039690644119553205,0.054055470271611734,-13.862562691547117
5,300,0.01,20.0,sortino,0.8189613839372889,0.3703563884663641,9.331075286931705,0.039690644119553205,0.054055470271611734,-13.862562691547117
5,300,0.01,20.0,sharpe,0.2915806189456971,0.1320500581380113,9.35546291959411,0.01411475405043242,0.01923944600016949,-14.313942949791963
5,600,0.01,60.0,sortino,0.2909482832434529,0.1317639153312511,9.355487252603439,0.014084131779943788,0.019197664977728058,-14.313942949791954
5,600,0.01,60.0,sharpe,0.29158061894558607,0.13205005813796689,9.355462919594107,0.01411475405042768,0.019239446000163002,-14.313942949792041
5,600,0.05,60.0,sharpe,0.2915806189457637,0.1320500581380335,9.355462919594107,0.0141147540504348,0.019239446000172692,-14.313942949791954
5,600,0.05,60.0,sortino,0.29081247129087995,0.13170245795264268,9.355492481273119,0.014077554785733769,0.0191886913365791,-14.313942949791974
5,600,0.05,10.0,sharpe,0.6974052176037082,0.31548964231127297,9.243742465901853,0.03413007701967524,0.046360491216593566,-13.967218832987893
5,600,0.05,10.0,sortino,-0.3620284731132628,-0.16424754910213668,9.1617503036538,-0.017927529528569783,-0.02408338375346306,-14.871639874089498
5,600,0.05,20.0,sortino,-0.3620284731132628,-0.16424754910213668,9.1617503036538,-0.017927529528569783,-0.02408338375346306,-14.871639874089498
5,600,0.05,20.0,sharpe,0.6974052176037082,0.31548964231127297,9.243742465901853,0.03413007701967524,0.046360491216593566,-13.967218832987893
5,600,0.01,10.0,sharpe,0.29114650693893296,0.13185361507699334,9.355479622690071,0.01409373120296319,0.01921076242200052,-14.313942949791983
5,600,0.01,10.0,sortino,0.7721716792420175,0.34924122677417735,9.324570206820836,0.037453868545995896,0.05100362418335631,-13.902435312087228
5,600,0.01,20.0,sortino,0.7721716792420175,0.34924122677417735,9.324570206820836,0.037453868545995896,0.05100362418335631,-13.902435312087228
5,600,0.01,20.0,sharpe,0.29114650693893296,0.13185361507699334,9.355479622690071,0.01409373120296319,0.01921076242200052,-14.313942949791983
